Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B6846,67,12000,115.1,26.9,22.1,14,9.6,29.7,20.3,594.5,134.4,602.9
B6881,67,12000,119.5,27.7,21.8,15.2,9.4,31.9,21.5,603.9,142.9,685.9
B7000,67,12000,123.2,28.9,22.1,16.6,10.5,32.1,20.4,638.7,174.3,654.8
B7040,67,12000,125.6,29.8,23.9,15.6,9.8,34.7,24,712.2,152.9,832.8
B7055,67,12000,115.8,27.1,22.9,14.6,9.8,31.2,20.1,620.6,143.1,627.1
B7063,67,12000,118,28.3,22.3,15,9,30.8,19.3,631.1,135,594.4
B7149,67,12000,116.4,27.9,22,15.6,9.7,30.9,20,613.8,151.3,618
B7203,67,12000,116.5,26.8,21.5,15.3,10.1,31.7,20.7,576.2,154.5,656.2
B7208,67,12000,113.5,26.3,21.4,15.4,9.9,30.3,20.2,562.8,152.5,612.1
B7215,67,12000,114.4,27.1,21.6,15.4,9.2,29.3,21.8,585.4,141.7,638.7
B7251,67,12000,116.9,28.1,23.4,14.8,9.5,32.4,20.4,657.5,140.6,661
B7310,67,12000,119.2,27,24,14.4,9.6,32.9,23,648,138.2,756.7
B6195,77,32000,121.2,29.2,23,15.3,9.3,31.3,19.6,671.6,142.3,613.5
B6211,77,32000,121.9,27.6,24.4,14.4,9.4,32,18.9,673.4,135.4,604.8
B6219,77,32000,125.3,27.8,21,15.1,9.4,32.7,18.3,583.8,141.9,598.4
B6235,77,32000,120,26.2,20.9,15.2,9.8,30.8,17.3,547.6,149,532.8
B6237,77,32000,129.2,23.2,27.1,15,10.6,32.1,20,628.7,159,642
B6239,77,32000,119.8,25.4,21.1,13.9,8.5,30.9,18.8,535.9,118.2,580.9
B6241,77,32000,123.9,27.3,23.4,15.1,10,32.5,20.9,638.8,151,679.3
B6254,77,32000,116.1,27.5,20.2,15.3,9.3,32.5,18,555.5,142.3,585
B6255,77,32000,124,27.8,23.4,15.6,10.6,33.5,20.5,650.5,165.4,686.8
B6266,77,32000,115.9,27.7,22.6,14.9,9.9,30.6,19.2,626,147.5,587.5
