A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,,
118.17,,11.56,6.4,4.45,18.2,9.59,8.86,,,Rancho La Brea,R,adult,,,,,
119.01,,,7.15,4.71,18.99,9.28,8.92,,,Rancho La Brea,R,adult,,,,,
107.99,,10.76,6.36,4.33,,9.52,8.9,,,Rancho La Brea,R,adult,,,,,
113.36,17.16,,6.92,4.3,18.16,9.43,,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
113.46,17.45,10.15,6.79,4.51,18.37,9.33,,,,Rancho La Brea,R,adult,,,,,
117.65,19.33,12.29,7.42,4.81,19.7,10.35,9.46,,,Rancho La Brea,R,adult,,,,,
114.54,18.8,11.27,6.44,4.57,19.12,9.84,9.27,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
116.29,18.27,10.64,6.58,4.66,17.88,9.94,9.19,,,Rancho La Brea,R,adult,,,,,
120.49,18.89,11.33,6.73,4.62,18.78,9.63,,,,Rancho La Brea,R,adult,,,,,
115.13,18.6,11.3,6.82,4.73,18.39,10.43,9.05,,,Rancho La Brea,R,adult,,,,,
119.07,18.25,11.83,7.5,5.08,18.94,10.48,10.05,,,Rancho La Brea,R,adult,,,,,
116.11,18.48,11.75,7.06,4.71,19.03,10.74,,,,Rancho La Brea,R,adult,,,,,
119.6,18.41,,7.74,5.14,19.01,10.18,9.19,,,Rancho La Brea,R,adult,,,,,
118.09,,,6.72,4.41,18.38,9.63,8.63,,,Rancho La Brea,R,adult,,,,,
120.51,17.89,11.27,6.84,4.73,19.63,9.59,,,,Rancho La Brea,R,adult,,,,,
116.61,19.04,11.43,6.5,4.53,18.99,,9.34,,,Rancho La Brea,R,adult,,,,,
